glyph_name,ps_name,sort_final
DevMaatraShortE,uni0946,770
DevMaatraShortEReph,uni09460930094D,771
DevMaatraShortERephCandrabindu,uni09460930094D0901,772
DevMaatraShortERephBindu,uni09460930094D0902,773
DevMaatraShortENukta,uni0946093C,774
DevMaatraE,uni0947,775
DevMaatraE.short,uni0947.short,776
DevMaatraEReph,uni09470930094D,777
DevMaatraERephCandrabindu,uni09470930094D0901,778
DevMaatraERephBindu,uni09470930094D0902,779
DevMaatraENukta,uni0947093C,780
DevMaatraENukta.alt,uni0947093C.alt,781
DevMaatraAi,uni0948,782
DevMaatraAi.short,uni0948.short,783
DevMaatraAiReph,uni09480930094D,784
DevMaatraAiRephCandrabindu,uni09480930094D0901,785
DevMaatraAiRephBindu,uni09480930094D0902,786
DevMaatraAiNukta,uni0948093C,787
DevMaatraCandraO,uni0949,788
DevMaatraCandraONukta,uni0949093C,789
DevMaatraShortO,uni094A,790
DevMaatraShortOReph,uni094A0930094D,791
DevMaatraShortORephCandrabindu,uni094A0930094D0901,792
DevMaatraShortORephBindu,uni094A0930094D0902,793
DevMaatraShortONukta,uni094A093C,794
DevMaatraO,uni094B,795
DevMaatraOReph,uni094B0930094D,796
DevMaatraORephCandrabindu,uni094B0930094D0901,797
DevMaatraORephBindu,uni094B0930094D0902,798
DevMaatraONukta,uni094B093C,799
DevMaatraAU,uni094C,800
DevMaatraAUReph,uni094C0930094D,801
DevMaatraAURephCandrabindu,uni094C0930094D0901,802
DevMaatraAURephBindu,uni094C0930094D0902,803
DevMaatraAUNukta,uni094C093C,804
DevHalant,uni094D,805
DevRaVattu,uni094D0930.rakar,806
DevRaVattu.alt,uni094D0930.rakar.alt,807
DevPrishthamatraE,uni094E,808
DevMaatraAW,uni094F,809
DevOm,uni0950,810
DevUdatta,uni0951,811
DevAnudatta,uni0952,812
DevGrave,uni0953,813
DevAcute,uni0954,814
DevMaatraCandraLongE,uni0955,815
DevMaatraUE,uni0956,816
DevMaatraUUE,uni0957,817
DevKaNukta,uni0958,818
DevHalfKaNukta,uni0958094D.half,819
DevKaNuktaR,uni0958094D0930,820
DevKaNuktaR.alt,uni0958094D0930.alt,821
DevHalfKaNuktaR,uni0958094D0930094D.half,822
DevHalfKaNuktaR.alt,uni0958094D0930094D.half.alt,823
DevKhaNukta,uni0959,824
DevHalfKhaNukta,uni0959094D.half,825
DevKhaNuktaR,uni0959094D0930,826
DevHalfKhaNuktaR,uni0959094D0930094D.half,827
DevGaNukta,uni095A,828
DevHalfGaNukta,uni095A094D.half,829
DevGaNuktaR,uni095A094D0930,830
DevHalfGaNuktaR,uni095A094D0930094D.half,831
DevJaNukta,uni095B,832
DevHalfJaNukta,uni095B094D.half,833
DevJaNuktaR,uni095B094D0930,834
DevHalfJaNuktaR,uni095B094D0930094D.half,835
DevDdaNukta,uni095C,836
DevHalfDdaNukta,uni095C094D.half,837
DevDdaNuktaR,uni095C094D0930,838
DevDdhaNukta,uni095D,839
DevHalfDdhaNukta,uni095D094D.half,840
DevDdhaNuktaR,uni095D094D0930,841
DevPhaNukta,uni095E,842
DevHalfPhaNukta,uni095E094D.half,843
DevPhaNuktaR,uni095E094D0930,844
DevHalfPhaNuktaR,uni095E094D0930094D.half,845
DevYaNukta,uni095F,846
DevYaNukta.alt,uni095F.alt,847
DevHalfYaNukta,uni095F094D.half,848
DevHalfYaNukta.alt,uni095F094D.half.alt,849
DevYaNuktaR,uni095F094D0930,850
DevYaNuktaR.alt,uni095F094D0930.alt,851
DevHalfYaNuktaR,uni095F094D0930094D.half,852
DevVowelRR,uni0960,853
DevVowelRRNukta,uni0960093C,854
DevVowelLL,uni0961,855
DevVowelLLNukta,uni0961093C,856
DevMaatraL,uni0962,857
DevMaatraLNukta,uni0962093C,858
DevMaatraLL,uni0963,859
DevMaatraLLNukta,uni0963093C,860
DevDanda,uni0964,861
DevDoubleDanda,uni0965,862
DevZero,uni0966,863
DevOne,uni0967,864
DevOneHalf,uni096720440968,865
DevOneQuarter,uni09672044096A,866
DevTwo,uni0968,867
DevThree,uni0969,868
DevThreeQuarters,uni09692044096A,869
DevFour,uni096A,870
DevFive,uni096B,871
DevFive.alt,uni096B.alt,872
DevSix,uni096C,873
DevSeven,uni096D,874
DevEight,uni096E,875
DevEight.alt,uni096E.alt,876
DevNine,uni096F,877
DevNine.alt,uni096F.alt,878
DevNine.alt2,uni096F.alt2,879
DevAbbreviation,uni0970,880
DevHighSpacingDot,uni0971,881
DevVowelCandraA,uni0972,882
DevVowelCandraANukta,uni0972093C,883
DevVowelOE,uni0973,884
DevVowelOOE,uni0974,885
DevVowelAW,uni0975,886
DevVowelUE,uni0976,887
DevVowelUUE,uni0977,888
DevDdaMarawari,uni0978,889
DevZha,uni0979,890
DevHeavyYa,uni097A,891
DevGga,uni097B,892
DevGgaNukta,uni097B093C,893
DevHalfGgaNukta,uni097B093C094D.half,894
DevGgaNuktaR,uni097B093C094D0930,895
DevHalfGgaNuktaR,uni097B093C094D0930094D.half,896
DevHalfGga,uni097B094D.half,897
DevGgaR,uni097B094D0930,898
DevHalfGgaR,uni097B094D0930094D.half,899
DevJja,uni097C,900
DevJjaNukta,uni097C093C,901
DevHalfJjaNukta,uni097C093C094D.half,902
DevJjaNuktaR,uni097C093C094D0930,903
DevHalfJjaNuktaR,uni097C093C094D0930094D.half,904
DevHalfJja,uni097C094D.half,905
DevJjaR,uni097C094D0930,906
DevHalfJjaR,uni097C094D0930094D.half,907
DevGlottalStop,uni097D,908
DevGlottalStop.alt,uni097D.alt,909
DevDdda,uni097E,910
DevDddaNukta,uni097E093C,911
DevHalfDddaNukta,uni097E093C094D.half,912
DevDddaNuktaR,uni097E093C094D0930,913
DevHalfDdda,uni097E094D.half,914
DevDddaR,uni097E094D0930,915
DevBba,uni097F,916
DevBbaNukta,uni097F093C,917
DevHalfBbaNukta,uni097F093C094D.half,918
DevBbaNuktaR,uni097F093C094D0930,919
DevHalfBbaNuktaR,uni097F093C094D0930094D.half,920
DevHalfBba,uni097F094D.half,921
DevBbaR,uni097F094D0930,922
DevHalfBbaR,uni097F094D0930094D.half,923
ThinSpace,uni2009,924
ZeroWidthSpace,uni200B,925
ZeroWidthNonJoiner,uni200C,926
ZeroWidthJoiner,uni200D,927
NarrowNoBreakSpace,uni202F,928
RupeeSgn,uni20A8,929
IndianRupeeSgn,uni20B9,930
DottedCirc,uni25CC,931
NorthIndicFracOneQuarter,uniA830,932
NorthIndicFracOneHalf,uniA831,933
NorthIndicFracThreeQuarters,uniA832,934
NorthIndicFracOneSixteenth,uniA833,935
NorthIndicFracOneEighth,uniA834,936
NorthIndicFracThreeSixteenths,uniA835,937
NorthIndicQuarterMark,uniA836,938
NorthIndicPlaceholderMark,uniA837,939
NorthIndicRupeeMark,uniA838,940
NorthIndicQuantityMark,uniA839,941
DevCombDigZero,uniA8E0,942
DevCombDigOne,uniA8E1,943
DevCombDigTwo,uniA8E2,944
DevCombDigThree,uniA8E3,945
DevCombDigFour,uniA8E4,946
DevCombDigFive,uniA8E5,947
DevCombDigSix,uniA8E6,948
DevCombDigSeven,uniA8E7,949
DevCombDigEight,uniA8E8,950
DevCombDigNine,uniA8E9,951
DevCombLtrA,uniA8EA,952
DevCombLtrU,uniA8EB,953
DevCombLtrKa,uniA8EC,954
DevCombLtrNa,uniA8ED,955
DevCombLtrPa,uniA8EE,956
DevCombLtrRA,uniA8EF,957
DevCombLtrVI,uniA8F0,958
DevCombAvagraha,uniA8F1,959
DevSpacingCandrabindu,uniA8F2,960
DevCandrabinduVirama,uniA8F3,961
DevDblCandrabinduVirama,uniA8F4,962
DevCandrabinduTwo,uniA8F5,963
DevCandrabinduThree,uniA8F6,964
DevCandrabinduAvagraha,uniA8F7,965
DevPushpika,uniA8F8,966
DevGapFiller,uniA8F9,967
DevCaret,uniA8FA,968
DevHeadstroke,uniA8FB,969
DevHeadstroke.discrete,uniA8FB.discrete,970
DevHeadstroke.narrow,uniA8FB.narrow,971
DevHeadstroke.filler,uniA8FB.filler,972
DevSignSiddham,uniA8FC,973
DevJainOm,uniA8FD,974
DevJainOm.alt,uniA8FD.alt,975
DevVowelAY,uniA8FE,976
DevMaatraAY,uniA8FF,977
DevHeadMark,u11B00,978
DevHeadMarkHeadstoke,u11B01,979
DevSignBhale,u11B02,980
DevSignBhaleHook,u11B03,981
DevSignBhaleExtended,u11B04,982
DevSignBhaleExtendedHook,u11B05,983
DevSignBhaleWesternFive,u11B06,984
DevSignBhaleWesternNine,u11B07,985
DevSignBhaleReversedNine,u11B08,986
DevSignMindu,u11B09,987
enquad,uni2000,988
emquad,uni2001,989
enspace,uni2002,990
emspace,uni2003,991
threeperemspace,uni2004,992
fourperemspace,uni2005,993
sixperemspace,uni2006,994
figurespace,uni2007,995
punctuationspace,uni2008,996
hairspace,uni200A,997
hyphentwo,uni2010,998
nbhyphen,uni2011,999
figuredash,figuredash,1000
endash,endash,1001
emdash,emdash,1002
horizontalbar,uni2015,1003
quoteleft,quoteleft,1004
quoteright,quoteright,1005
quotesinglbase,quotesinglbase,1006
quotedblleft,quotedblleft,1007
quotedblright,quotedblright,1008
quotedblbase,quotedblbase,1009
dagger,dagger,1010
daggerdbl,daggerdbl,1011
bullet,bullet,1012
ellipsis,ellipsis,1013
hyphenationpoint,uni2027,1014
lineseparator,uni2028,1015
paragraphseparator,uni2029,1016
perthousand,perthousand,1017
guilsinglleft,guilsinglleft,1018
guilsinglright,guilsinglright,1019
wj,uni2060,1020
zerosuperior,uni2070,1021
foursuperior,uni2074,1022
fivesuperior,uni2075,1023
sixsuperior,uni2076,1024
sevensuperior,uni2077,1025
eightsuperior,uni2078,1026
ninesuperior,uni2079,1027
euro,Euro,1028
trademark,trademark,1029
Ohm,Omega,1030
partialdiff,partialdiff,1031
Delta,Delta,1032
product,product,1033
summation,summation,1034
minus,minus,1035
divisionslash,uni2215,1036
bulletoperator,uni2219,1037
radical,radical,1038
infinity,infinity,1039
integral,integral,1040
approxequal,approxequal,1041
notequal,notequal,1042
lessequal,lessequal,1043
greaterequal,greaterequal,1044
openbox,uni2423,1045
lozenge,lozenge,1046
fi,uniFB01,1047
fl,uniFB02,1048
VS1,uniFE00,1049
VS2,uniFE01,1050
VS3,uniFE02,1051
VS4,uniFE03,1052
VS5,uniFE04,1053
VS6,uniFE05,1054
VS7,uniFE06,1055
VS8,uniFE07,1056
VS9,uniFE08,1057
VS10,uniFE09,1058
VS11,uniFE0A,1059
VS12,uniFE0B,1060
VS13,uniFE0C,1061
VS14,uniFE0D,1062
VS15,uniFE0E,1063
VS16,uniFE0F,1064
zwnbsp,uniFEFF,1065
objectReplacementCharacter,uniFFFC,1066
replacementCharacter,uniFFFD,1067
DevAaCndrbndRaAi,DevAaCndrbndRaAi,1068
DevNgAaCndrbndRaAi.001,DevNgAaCndrbndRaAi.001,1069
